punto_clave_id,posicion_x,posicion_y,tamaño,angulo,respuesta,octava
146,353.79571533203125,515.8546752929688,4.972386360168457,106.60333251953125,0.04662512242794037,6816256
147,532.9325561523438,427.7702331542969,3.7740280628204346,16.294281005859375,0.06539852917194366,3604736
148,532.2853393554688,376.82281494140625,2.3509600162506104,9.75091552734375,0.062195807695388794,2753279
149,532.0700073242188,374.9219970703125,3.4497220516204834,171.34197998046875,0.06490164250135422,13763583
150,354.0673522949219,363.8396301269531,2.5667569637298584,186.38912963867188,0.060261934995651245,9110271
151,532.0700073242188,374.9219970703125,3.4497220516204834,4.178741455078125,0.06490164250135422,13763583
152,528.5105590820312,358.1833801269531,2.165462017059326,20.3753662109375,0.036728933453559875,13566463
153,355.1044616699219,358.8762512207031,2.818906307220459,7.706573486328125,0.04943128302693367,15926015
154,355.1044616699219,358.8762512207031,2.818906307220459,193.74679565429688,0.04943128302693367,15926015
155,526.3828735351562,386.3313903808594,1.8666670322418213,162.66790771484375,0.05144182965159416,2818559
156,526.3828735351562,386.3313903808594,1.8666670322418213,10.9346923828125,0.05144182965159416,2818559
157,263.4482116699219,309.0572204589844,24.97662353515625,53.36553955078125,0.04285603389143944,6554370
158,525.7387084960938,404.5751953125,1.8439050912857056,174.35629272460938,0.06270614266395569,1901055
159,525.6950073242188,382.1684265136719,1.9840658903121948,170.56527709960938,0.05739780515432358,7209471
160,525.5453491210938,510.82049560546875,3.009176731109619,70.77560424804688,0.04910365492105484,3933183
161,265.794677734375,605.6231079101562,3.209721803665161,170.67025756835938,0.03648066148161888,8586239
162,524.9463500976562,419.3299560546875,2.883610963821411,29.0185546875,0.0800703838467598,852991
163,523.080322265625,366.02685546875,1.9379764795303345,337.722412109375,0.04771828278899193,5505535
164,523.080322265625,366.02685546875,1.9379764795303345,181.79364013671875,0.04771828278899193,5505535
165,267.3600769042969,616.28662109375,3.727879047393799,291.05126953125,0.047275278717279434,2687232
166,267.3600769042969,616.28662109375,3.727879047393799,356.4429016113281,0.047275278717279434,2687232
167,523.080322265625,366.02685546875,1.9379764795303345,134.95957946777344,0.04771828278899193,5505535
168,517.4581298828125,375.63629150390625,2.907623052597046,171.71705627441406,0.07057027518749237,1442815
169,267.7752685546875,80.9437255859375,21.73768424987793,283.6338195800781,0.058154620230197906,13238786
