imagen_nombre,imagen_path,orb_num_keypoints,orb_kp_mean_x,orb_kp_std_x,orb_kp_mean_y,orb_kp_std_y,orb_kp_mean_size,orb_kp_std_size,orb_kp_mean_response,orb_kp_std_response,orb_kp_density,orb_mean_angle,orb_std_angle,orb_angle_entropy,orb_angle_uniformity,orb_descriptor_length,orb_descriptor_mean_hamming,orb_descriptor_std_hamming,orb_descriptor_bit_ratio,orb_descriptor_entropy,orb_descriptor_uniqueness,orb_spatial_uniformity,orb_spatial_clustering,orb_edge_concentration,orb_center_concentration,orb_size_gradient,orb_scale_diversity,orb_scale_entropy,orb_dominant_scale_level,nombre_imagen,usar_metodo_profesora,output_path
circulos,./images\circulos.jpg,500,306.9571467285156,145.22859180240343,160.57947537994386,57.34468709092169,53.92458868408203,23.376703903875878,-0.00019535259183311383,0.0005760271421670032,0.0026699132812166263,173.97523992061616,100.49638462820495,5.395810995493082,0.5485398800412483,256,31.361010101010102,1.1409614012270042,0.4754296875,-232.27994011230524,1.0,0.8196584654583771,0.5495536766830017,0.07,0.25,-0.13753951936849387,8,2.3343243776202067,,batch_circulos_orb,False,./resultados_deteccion\surf_orb_analysis\batch_circulos_orb.png
senal2,./images\senal2.jpg,500,324.0803263320923,156.6112078871414,265.22450434875486,77.42786053960636,53.92458868408203,23.376703903875878,0.002777797688846476,0.0021358098105850837,0.0017442874585731729,193.00338369274138,87.88108582473092,5.727418318565397,0.5210758102196743,256,31.787070707070708,0.6288634168249193,0.5314140625,-232.33527469923803,1.0,0.8845111644276646,0.5306415896473105,0.042,0.16,-0.23730551101493094,8,2.3343243776202067,,batch_senal2_orb,False,./resultados_deteccion\surf_orb_analysis\batch_senal2_orb.png
senal3,./images\senal3.jpg,500,539.9279230880737,222.5872589780438,411.2563526535034,237.47985376554013,53.92458868408203,23.376703903875878,0.0012165862726978957,0.0005855731539842334,0.00045740632318501173,170.8938812393844,118.92210082288842,5.3740912214092615,0.5241068593293208,256,31.67818181818182,0.8239279703199073,0.5301953125,-232.32442827519912,1.0,0.8279613517535296,0.5470575179506495,0.152,0.216,-0.18570360310721087,8,2.3343243776202067,,batch_senal3_orb,False,./resultados_deteccion\surf_orb_analysis\batch_senal3_orb.png
senal4,./images\senal4.jpg,500,481.244848236084,167.76557547859466,472.03097961425783,114.55413317543359,53.92458868408203,23.376703903875878,0.0005846668214362581,0.00032430167404608716,0.00046451133407655144,213.11231522893905,99.3517973294926,5.840207931925422,0.5771932085490981,256,31.78181818181818,0.5318850860100577,0.5192109375,-232.24606671710333,1.0,1.1597585955685596,0.46301471009390677,0.042,0.382,0.21887947928963034,8,2.3343243776202067,,batch_senal4_orb,False,./resultados_deteccion\surf_orb_analysis\batch_senal4_orb.png
trafico1,./images\trafico1.jpg,409,154.6723391246096,58.48364782399868,80.40549339350395,23.362256683724485,44.829308153073185,13.217366689159617,0.0013934135870135778,0.0010708086705590973,0.008115079365079365,176.66505970960725,99.12151458910049,6.933064159016692,0.4888202612539111,256,31.746666666666666,0.6100703718308721,0.5117665036674817,-232.21278553340875,1.0,1.0709102276237377,0.4828794540009821,0.0,0.42053789731051344,-0.2699190689705469,6,1.9195728887150727,,batch_trafico1_orb,False,./resultados_deteccion\surf_orb_analysis\batch_trafico1_orb.png
trafico10,./images\trafico10.jpeg,500,325.5519721221924,257.12491321424204,216.87724450683595,106.60237771664987,53.92458868408203,23.376703903875878,0.006253006429644301,0.0038111847456457305,0.0008071025020177562,178.02802377772332,105.77144635897167,6.604831337695561,0.3989987468623273,256,31.78909090909091,0.5415672932791258,0.5333203125,-232.35310249425055,1.0,1.0294542243325755,0.49274331394632415,0.288,0.134,-0.40261367644941004,8,2.3343243776202067,,batch_trafico10_orb,False,./resultados_deteccion\surf_orb_analysis\batch_trafico10_orb.png
trafico11,./images\trafico11.jpg,482,245.23467518976616,100.38095904599541,170.49636979320732,48.47135321950691,51.790205168031555,20.98412827846415,0.0013323802463841392,0.001312252690977751,0.004041928721174004,174.20208752408809,108.86293693604294,5.553232282744181,0.5296758105143318,256,31.750707070707072,0.6120626701345437,0.5318335062240664,-232.3391071113441,1.0,0.7313800340357391,0.577573946991327,0.012448132780082987,0.2074688796680498,-0.4194191575277788,8,2.052659536951266,,batch_trafico11_orb,False,./resultados_deteccion\surf_orb_analysis\batch_trafico11_orb.png
trafico13,./images\trafico13.jpg,500,293.3133512268066,68.38435077174844,218.3345535964966,93.52651463171854,53.92458868408203,23.376703903875878,0.0016975428359000944,0.0013429789628608406,0.0020729684908789387,183.62181173757463,117.48453527203823,5.877652748500989,0.46468914340329764,256,31.736363636363638,0.6938335237488067,0.5090703125,-232.2046792739775,1.0,1.2808590867047374,0.4384312936424084,0.024,0.444,-0.15827233497599105,8,2.3343243776202067,,batch_trafico13_orb,False,./resultados_deteccion\surf_orb_analysis\batch_trafico13_orb.png
trafico2,./images\trafico2.jpg,500,360.77774311828614,173.9665001787233,152.13702854919433,54.83756023789336,53.92458868408203,23.376703903875878,0.004809757182956673,0.0030078744989743555,0.0017725719309689587,210.34054565525054,93.72193536197494,6.176143274985429,0.4909093602657518,256,31.734343434343433,0.6506657998258036,0.523859375,-232.2749689541092,1.0,0.7626427735171336,0.5673299292542555,0.04,0.27,-0.0660106012137594,8,2.3343243776202067,,batch_trafico2_orb,False,./resultados_deteccion\surf_orb_analysis\batch_trafico2_orb.png
trafico3,./images\trafico3.jpg,391,174.1542125614098,57.46276714207374,79.3782933520539,20.614094061683094,43.34195428248257,11.509760728272893,0.002182062387129541,0.0017252399379507578,0.00775839831736016,170.9909062139366,102.7148991126992,6.748832965040652,0.5117838136139409,256,31.743636363636362,0.6314444792654835,0.5267643062659847,-232.2962031959642,1.0,1.1356593113293636,0.4682394774743072,0.005115089514066497,0.44501278772378516,-0.18641285903021676,6,1.720828643620364,,batch_trafico3_orb,False,./resultados_deteccion\surf_orb_analysis\batch_trafico3_orb.png
