epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8542.42,1.16198,0.81849,1.2378,0.81786,0.74336,0.78347,0.39704,1.52157,0.896,1.39504,0.0011882,0.0011882,0.0011882
43,8729.72,1.14098,0.77974,1.24372,0.93702,0.64602,0.75873,0.40998,1.45692,0.90923,1.40444,0.0011684,0.0011684,0.0011684
44,8921.87,1.15613,0.79177,1.24362,0.89277,0.68142,0.76076,0.39533,1.5202,0.98325,1.42929,0.0011486,0.0011486,0.0011486
45,9108.95,1.10573,0.76626,1.19555,0.82795,0.71681,0.76069,0.4035,1.48563,0.96971,1.40862,0.0011288,0.0011288,0.0011288
46,9296.99,1.10135,0.77186,1.20815,0.82365,0.74336,0.77725,0.40992,1.49995,0.88592,1.43283,0.001109,0.001109,0.001109
47,9506.48,1.11565,0.74269,1.19415,0.83222,0.69912,0.77652,0.42185,1.4312,0.9522,1.36122,0.0010892,0.0010892,0.0010892
48,9746.01,1.07326,0.72732,1.17977,0.88476,0.75221,0.80811,0.44672,1.42542,0.83628,1.35197,0.0010694,0.0010694,0.0010694
49,9928.85,1.07273,0.73244,1.19805,0.89779,0.74336,0.80012,0.42185,1.43284,0.85696,1.3713,0.0010496,0.0010496,0.0010496
50,10113.1,1.08837,0.74325,1.19811,0.85452,0.72774,0.77516,0.38718,1.57963,0.9461,1.43972,0.0010298,0.0010298,0.0010298
51,10293.7,1.0522,0.74654,1.17673,0.88835,0.73451,0.76221,0.40911,1.51512,0.85905,1.38577,0.00101,0.00101,0.00101
52,10475.2,1.07648,0.71153,1.18398,0.83714,0.76991,0.76483,0.41702,1.50737,0.86311,1.40427,0.0009902,0.0009902,0.0009902
53,10660.9,1.05352,0.716,1.17219,0.87896,0.77116,0.78023,0.40679,1.53435,0.88593,1.46324,0.0009704,0.0009704,0.0009704
54,10844.7,1.01685,0.68011,1.16423,0.85528,0.77876,0.79103,0.42966,1.52468,0.88935,1.42135,0.0009506,0.0009506,0.0009506
55,11024.2,1.06011,0.68874,1.1609,0.83947,0.78671,0.79953,0.43399,1.43059,0.86608,1.36625,0.0009308,0.0009308,0.0009308
56,11203.9,1.02767,0.67748,1.16759,0.87752,0.76106,0.78458,0.42442,1.4976,0.89648,1.40438,0.000911,0.000911,0.000911
57,11388.6,0.97456,0.65348,1.14033,0.90801,0.71681,0.78433,0.41824,1.50596,0.83748,1.43739,0.0008912,0.0008912,0.0008912
58,11568.7,0.99725,0.67341,1.15511,0.87813,0.72566,0.7666,0.41481,1.45427,0.9773,1.36696,0.0008714,0.0008714,0.0008714
59,11751.2,0.99008,0.6539,1.12619,0.84988,0.76106,0.78881,0.43162,1.41449,0.8571,1.35856,0.0008516,0.0008516,0.0008516
60,11934.6,1.01568,0.70156,1.1475,0.92223,0.72566,0.77884,0.41644,1.50621,0.85876,1.43966,0.0008318,0.0008318,0.0008318
61,12115.1,0.97701,0.6674,1.13829,0.81715,0.71189,0.75425,0.40061,1.49042,0.98313,1.42272,0.000812,0.000812,0.000812
62,12296.9,0.95326,0.61908,1.10961,0.86026,0.76275,0.80185,0.43145,1.52394,0.91592,1.42135,0.0007922,0.0007922,0.0007922
63,12485.1,0.99343,0.65364,1.13877,0.85973,0.70513,0.79003,0.41101,1.56418,0.9391,1.43551,0.0007724,0.0007724,0.0007724
64,12667.5,0.96116,0.65423,1.12372,0.89228,0.73304,0.78115,0.4066,1.57752,0.94343,1.49603,0.0007526,0.0007526,0.0007526
65,12847.8,0.94266,0.61093,1.11869,0.81831,0.77876,0.78504,0.41782,1.50491,0.98013,1.47482,0.0007328,0.0007328,0.0007328
66,13030.2,0.96158,0.61552,1.11949,0.85636,0.71681,0.78466,0.4077,1.53077,1.02255,1.4512,0.000713,0.000713,0.000713
67,13217.8,0.9168,0.6059,1.09277,0.87149,0.75221,0.79559,0.4113,1.46935,0.8678,1.41406,0.0006932,0.0006932,0.0006932
68,13399.5,0.91047,0.61775,1.08733,0.8822,0.70796,0.79897,0.41605,1.5874,0.96856,1.43318,0.0006734,0.0006734,0.0006734
69,13592.8,0.89346,0.59113,1.09017,0.85785,0.7477,0.79972,0.4401,1.53252,0.90113,1.39377,0.0006536,0.0006536,0.0006536
70,13790.8,0.91219,0.58666,1.08706,0.86873,0.76991,0.79624,0.43992,1.52528,0.93794,1.4256,0.0006338,0.0006338,0.0006338
71,13985.5,0.91422,0.57903,1.09349,0.86046,0.76106,0.78336,0.41947,1.52246,0.95032,1.46765,0.000614,0.000614,0.000614
72,14178.9,0.89875,0.57377,1.08914,0.83702,0.77265,0.791,0.43389,1.49104,0.85851,1.43426,0.0005942,0.0005942,0.0005942
73,14376.1,0.85486,0.56761,1.06441,0.78993,0.78761,0.77972,0.4252,1.48749,0.88535,1.43448,0.0005744,0.0005744,0.0005744
74,14570.4,0.87123,0.57257,1.08765,0.88101,0.72076,0.78726,0.42664,1.45132,0.87788,1.4218,0.0005546,0.0005546,0.0005546
75,14763.4,0.85562,0.54975,1.0758,0.84911,0.73451,0.7899,0.4226,1.44996,0.89597,1.41059,0.0005348,0.0005348,0.0005348
76,14965.1,0.85631,0.5479,1.06749,0.88305,0.73503,0.78707,0.42076,1.4673,0.8658,1.4234,0.000515,0.000515,0.000515
77,15158.9,0.84953,0.55395,1.05543,0.90398,0.71681,0.79337,0.42424,1.48029,0.88463,1.41177,0.0004952,0.0004952,0.0004952
78,15352.9,0.8358,0.53847,1.07756,0.885,0.75221,0.80818,0.43083,1.46166,0.85419,1.41565,0.0004754,0.0004754,0.0004754
79,15553.9,0.83144,0.54746,1.06706,0.84915,0.77876,0.79457,0.42689,1.48,0.89425,1.40922,0.0004556,0.0004556,0.0004556
80,15747.8,0.80608,0.53014,1.03884,0.87351,0.73339,0.79092,0.42042,1.46974,0.91298,1.40116,0.0004358,0.0004358,0.0004358
81,15940.3,0.86045,0.56051,1.07187,0.85666,0.73451,0.77317,0.41966,1.4523,0.87682,1.42837,0.000416,0.000416,0.000416
